Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age
Lee Jessie,1997,107.50,57.50,137.50,25.00
Pilnikova Lenka,1983,107.50,70.00,135.00,39.00
Caldona Jackielyn,1989,105.00,62.50,120.00,33.00
Smith Megan-Li,1996,152.50,82.50,170.00,26.00
Kariyawasam Kavishi,1993,150.00,72.50,172.50,29.00
Premji Suzan,1984,125.00,70.00,155.00,38.00
Corrigan Evie,1996,155.00,90.00,187.50,26.00
Casey Kayla,1987,137.50,87.50,157.50,35.00
Cook Jodie,1988,130.00,85.00,160.00,34.00
Hoey Jodie,1996,102.50,55.00,132.50,26.00
Shon Catherine,1992,137.50,80.00,167.50,30.00
Zur Linden Emily,1987,167.50,95.00,185.00,35.00
Vidal Makeda,1995,170.00,80.00,185.00,27.00
Macpherson Charlotte,1995,165.00,92.50,190.00,27.00
Hurndell Gillian,1990,140.00,77.50,152.50,32.00
Krishna Amelia,1992,125.00,50.00,145.00,30.00
Strickland Sarah,1997,97.50,67.50,117.50,25.00
Leece Stephanie,1991,95.00,45.00,135.00,31.00
Solarska Eliza,1995,90.00,50.00,125.00,27.00
Corr Jo-Ann,1993,85.00,40.00,100.00,29.00
Bryans Holly,1994,160.00,107.50,182.50,28.00
Kitigawa Lisa,1991,147.50,80.00,175.00,31.00
Fruean Lagi,1990,140.00,85.00,170.00,32.00
Lai Karen,1994,145.00,90.00,162.50,28.00
Ng Amy,1990,125.00,77.50,165.00,32.00
Hanrahan Em,1998,140.00,77.50,155.00,24.00
Moore Ruth,1988,135.00,70.00,162.50,34.00
Roberts Katie,1989,135.00,100.00,132.50,33.00
Spence Alyssa-Joy,1986,147.50,85.00,165.00,36.00
Tongotea Karlina,1992,210.00,117.50,240.50,30.00
Reid-Clavelle Danielle,1992,175.50,85.00,182.50,30.00
McQuilling Caryl,1991,152.50,85.00,170.00,31.00
Griffin Rachele,1994,142.50,82.50,172.50,28.00
Gladden Morgan,1990,152.50,90.00,162.50,32.00
Eaton Natasha,1992,142.50,82.50,147.50,30.00
Husaimee Hashilah,1996,130.00,82.50,152.50,26.00
Young Elizabeth,1984,100.00,45.00,130.00,38.00
Smith Nicole,1993,175.00,105.00,165.00,29.00
Nunan Claire,1993,172.50,107.50,200.00,29.00
Grzybowski Rashena,1995,180.00,92.50,190.00,27.00
Tocher Claire,1984,140.00,100.00,170.00,38.00
Carey Niamh,1993,125.00,52.50,150.00,29.00
Hema Kiri,1988,140.00,85.00,170.00,34.00
Govind Hema,1996,185.00,100.00,185.00,26.00
Schlater Brittany,1991,232.50,135.00,232.50,31.00
Coggle Rebecca,1983,185.00,110.00,155.00,39.00
Christensen Aimee,1991,150.00,100.00,170.00,31.00
Blenkin Rebecca,1990,155.00,90.00,165.00,32.00
Matthews Abigail,1991,145.00,87.50,145.00,31.00
Lindsay Teagan,2006,67.50,30.00,87.50,16.00
Morris Isobel,2006,67.50,27.50,87.50,16.00
McMillan Zaviera,2005,112.50,60.00,117.50,17.00
Sheikh Khan Muskan,2004,90.00,50.00,105.00,18.00
Bhadha Yasmin,2004,120.00,62.50,172.50,18.00
Jamieson Anna,2006,120.00,60.00,125.00,16.00
van der Merwe Roeche,2006,122.50,57.50,140.00,16.00
Sadler-Barker Tiggy,2005,135.00,80.00,127.50,17.00
Gnana Divya Nagam,2005,130.00,40.00,130.00,17.00
Dahler Shelby,2005,145.00,75.00,125.00,17.00
Ain Duratul,2000,85.00,40.00,115.00,22.00
Clark Molly,2000,110.00,80.00,125.00,22.00
Stephen Hana,2000,97.50,62.50,122.50,22.00
Wong Milly,2000,100.00,55.00,120.00,22.00
Marron Kathryn,2000,100.00,52.50,117.50,22.00
Ye-Lee Dana,1999,135.00,95.00,152.50,23.00
Fiorvento Sara,1999,115.00,65.00,125.00,23.00
Pham Vy Thuy,2000,147.50,82.50,165.00,22.00
