Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age,Total,,,Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age,TOTAL
Lee Jessie,1997,107.5,57.5,137.5,25,333.5,,,Pilnikova Lenka,1983,107.5,70,135,39,327.5
Pilnikova Lenka,1983,107.5,70,135,39,327.5,,,Lee Jessie,1997,107.5,57.5,137.5,25,333.5
Caldona Jackielyn,1989,105,62.5,120,33,320,,,Caldona Jackielyn,1989,105,62.5,120,33,320
Smith Megan-Li,1996,152.5,82.5,170,26,423.5,,,Smith Megan-Li,1996,152.5,82.5,170,26,423.5
Kariyawasam Kavishi,1993,150,72.5,172.5,29,408,,,Kariyawasam Kavishi,1993,150,72.5,172.5,29,408
Premji Suzan,1984,125,70,155,38,360,,,Premji Suzan,1984,125,70,155,38,360
Corrigan Evie,1996,155,90,187.5,26,468,,,Corrigan Evie,1996,155,90,187.5,26,468
Casey Kayla,1987,137.5,87.5,157.5,35,410,,,Casey Kayla,1987,137.5,87.5,157.5,35,410
Cook Jodie,1988,130,85,160,34,387.5,,,Cook Jodie,1988,130,85,160,34,387.5
Hoey Jodie,1996,102.5,55,132.5,26,327.5,,,Shon Catherine,1992,137.5,80,167.5,30,402.5
Shon Catherine,1992,137.5,80,167.5,30,402.5,,,Hoey Jodie,1996,102.5,55,132.5,26,327.5
Zur Linden Emily,1987,167.5,95,185,35,471.5,,,Vidal Makeda,1995,170,80,185,27,462.5
Vidal Makeda,1995,170,80,185,27,462.5,,,Macpherson Charlotte,1995,165,92.5,190,27,462.5
Macpherson Charlotte,1995,165,92.5,190,27,462.5,,,Zur Linden Emily,1987,167.5,95,185,35,471.5
Hurndell Gillian,1990,140,77.5,152.5,32,397.5,,,Hurndell Gillian,1990,140,77.5,152.5,32,397.5
Krishna Amelia,1992,125,50,145,30,347.5,,,Krishna Amelia,1992,125,50,145,30,347.5
Strickland Sarah,1997,97.5,67.5,117.5,25,317.5,,,Strickland Sarah,1997,97.5,67.5,117.5,25,317.5
Leece Stephanie,1991,95,45,135,31,287.5,,,Leece Stephanie,1991,95,45,135,31,287.5
Solarska Eliza,1995,90,50,125,27,287.5,,,Solarska Eliza,1995,90,50,125,27,287.5
Corr Jo-Ann,1993,85,40,100,29,245,,,Corr Jo-Ann,1993,85,40,100,29,245
Bryans Holly,1994,160,107.5,182.5,28,474,,,Nunan Claire,1993,172.5,107.5,200,29,512.5
Kitigawa Lisa,1991,147.5,80,175,31,425,,,Govind Hema,1996,185,100,185,26,511
Fruean Lagi,1990,140,85,170,32,425,,,Grzybowski Rashena,1995,180,92.5,190,27,487.5
Lai Karen,1994,145,90,162.5,28,422.5,,,Tocher Claire,1984,140,100,170,38,427.5
Ng Amy,1990,125,77.5,165,32,395,,,Hema Kiri,1988,140,85,170,34,422.5
Hanrahan Em,1998,140,77.5,155,24,395,,,Carey Niamh,1993,125,52.5,150,29,352.5
Moore Ruth,1988,135,70,162.5,34,392.5,,,Schlater Brittany,1991,232.5,135,232.5,31,632
Roberts Katie,1989,135,100,132.5,33,392.5,,,Coggle Rebecca,1983,185,110,155,39,477.5
Spence Alyssa-Joy,1986,147.5,85,165,36,440,,,Christensen Aimee,1991,150,100,170,31,445
Tongotea Karlina,1992,210,117.5,240.5,30,600,,,Blenkin Rebecca,1990,155,90,165,32,442.5
Reid-Clavelle Danielle,1992,175.5,85,182.5,30,467.5,,,Matthews Abigail,1991,145,87.5,145,31,395
McQuilling Caryl,1991,152.5,85,170,31,440,,,Bryans Holly,1994,160,107.5,182.5,28,474
Griffin Rachele,1994,142.5,82.5,172.5,28,432.5,,,Kitigawa Lisa,1991,147.5,80,175,31,425
Gladden Morgan,1990,152.5,90,162.5,32,427.5,,,Lai Karen,1994,145,90,162.5,28,422.5
Eaton Natasha,1992,142.5,82.5,147.5,30,405,,,Fruean Lagi,1990,140,85,170,32,425
Husaimee Hashilah,1996,130,82.5,152.5,26,390,,,Spence Alyssa-Joy,1986,147.5,85,165,36,440
Young Elizabeth,1984,100,45,130,38,300,,,Hanrahan Em,1998,140,77.5,155,24,395
Smith Nicole,1993,175,105,165,29,475,,,Ng Amy,1990,125,77.5,165,32,395
Nunan Claire,1993,172.5,107.5,200,29,512.5,,,Roberts Katie,1989,135,100,132.5,33,392.5
Grzybowski Rashena,1995,180,92.5,190,27,487.5,,,Moore Ruth,1988,135,70,162.5,34,392.5
Tocher Claire,1984,140,100,170,38,427.5,,,Tongotea Karlina,1992,210,117.5,240.5,30,600
Carey Niamh,1993,125,52.5,150,29,352.5,,,Smith Nicole,1993,175,105,165,29,475
Hema Kiri,1988,140,85,170,34,422.5,,,Reid-Clavelle Danielle,1992,175.5,85,182.5,30,467.5
Govind Hema,1996,185,100,185,26,511,,,McQuilling Caryl,1991,152.5,85,170,31,440
Schlater Brittany,1991,232.5,135,232.5,31,632,,,Gladden Morgan,1990,152.5,90,162.5,32,427.5
Coggle Rebecca,1983,185,110,155,39,477.5,,,Griffin Rachele,1994,142.5,82.5,172.5,28,432.5
Christensen Aimee,1991,150,100,170,31,445,,,Eaton Natasha,1992,142.5,82.5,147.5,30,405
Blenkin Rebecca,1990,155,90,165,32,442.5,,,Husaimee Hashilah,1996,130,82.5,152.5,26,390
Matthews Abigail,1991,145,87.5,145,31,395,,,Young Elizabeth,1984,100,45,130,38,300
Lindsay Teagan,2006,67.5,30,87.5,16,210,,,Morris Isobel,2006,67.5,27.5,87.5,16,187.5
