Name,Born,Squat1Kg,Bench1Kg,Deadlift1Kg,Age
Pilnikova Lenka,1983,120,77.5,145,39
Lee Jessie,1997,117.5,62.5,150,25
Caldona Jackielyn,1989,115,65,122.5,33
M.k.s.d Wijayasiri Shenuki,2002,77.5,40,95,20
Smith Megan-Li,1996,161,82.5,181,26
Kariyawasam Kavishi,1993,147.5,72.5,170,29
Premji Suzan,1984,132.5,72.5,150,38
Corrigan Evie,1996,171,102.5,205,26
Casey Kayla,1987,150,95,175,35
Cook Jodie,1988,142.5,90,172.5,34
Shon Catherine,1992,145,85,165,30
Hoey Jodie,1996,115,55,147.5,26
Vidal Makeda,1995,181,80,200,27
Macpherson Charlotte,1995,170,100,192.5,27
Zur Linden Emily,1987,172.5,97.5,190,35
Hurndell Gillian,1990,150,77.5,155,32
Krishna Amelia,1992,135,52.5,160,30
Strickland Sarah,1997,110,72.5,130,25
Leece Stephanie,1991,107.5,50,153,31
Solarska Eliza,1995,115,52.5,140,27
Corr Jo-Ann,1993,95,47.5,120,29
Nunan Claire,1993,182.5,112.5,208,29
Govind Hema,1996,193,102.5,190,26
Grzybowski Rashena,1995,175,102.5,190,27
Tocher Claire,1984,150,101,182.5,38
Hema Kiri,1988,147.5,90,185,34
Carey Niamh,1993,130,57.5,155,29
A.h Dahanayaka Harshani,1982,105,70,160,40
Tasi Jewel,1998,254,125,230,24
Schlater Brittany,1991,220,122.5,217.5,31
Coggle Rebecca,1983,220,127.5,172.5,39
Christensen Aimee,1991,165,100,185,31
Blenkin Rebecca,1990,162.5,85,165,32
Matthews Abigail,1991,150,90,155,31
Bryans Holly,1994,170,108.5,192.5,28
Kitigawa Lisa,1991,167.5,80,197.5,31
Lai Karen,1994,152.5,97.5,175,28
Fruean Lagi,1990,150,87.5,186.5,32
Spence Alyssa-Joy,1986,152.5,90,186,36
Hanrahan Em,1998,140,80,180,24
Ng Amy,1990,130,82.5,175,32
Roberts Katie,1989,140,92.5,152.5,33
Moore Ruth,1988,140,72.5,170,34
Tongotea Karlina,1992,216,124,250,30
Smith Nicole,1993,187.5,107.5,180,29
Reid-Clavelle Danielle,1992,177.5,92.5,192.5,30
McQuilling Caryl,1991,162.5,90,180,31
Gladden Morgan,1990,162.5,92.5,177.5,32
Griffin Rachele,1994,150,90,182.5,28
Eaton Natasha,1992,152.5,90,162.5,30
Husaimee Hashilah,1996,137.5,85,165,26
Young Elizabeth,1984,115,50,140,38
Morris Isobel,2006,67.5,30,87.5,16
Lindsay Teagan,2006,60,30,85,16
McMillan Zaviera,2005,120,66,130,17
Sheikh Khan Muskan,2004,105,55,112.5,18
Hardia Mishti,2005,112.5,62.5,140,17
Dahler Shelby,2005,160,80,135,17
Gnana Divya Nagam,2005,150,52.5,157.5,17
Bhadha Yasmin,2004,115,62.5,177,18
Jamieson Anna,2006,125,60,135,16
Sadler-Barker Tiggy,2005,142.5,85,140,17
van der Merwe Roechelle,2006,127.5,57.5,145,16
Ain Duratul,2000,95,45,123,22
Clark Molly,2000,110,82.5,125,22
